year,number,question,choice1,choice2,choice3,choice4,answer,explanation
2024,1,法律行為に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかった場合は、その法律行為は無効である。,公の秩序に反する法律行為であっても、当事者が納得して合意した場合には、その法律行為は有効である。,詐欺による意思表示は取り消すことによって初めから無効であったとみなされるのに対し、強迫による意思表示は取り消すまでもなく無効である。,他人が所有している土地を目的物にした売買契約は無効であるが、当該他人がその売買契約を追認した場合にはその売買契約は有効となる。,1,"正解は「営業を許された未成年者が、
その営業に関する意思表示をした時に意思能力を有しなかった場合は、
その法律行為は無効である。」です。
正しいです。
法律行為の当事者が意思表示をした時に意思能力を有しなかったときは、その法律行為は、無効です。（民法第3条の2）
意思能力を有しない者とは、7歳以下の子供、泥酔者、乳児などが代表例です。
誤りです。
公の秩序又は善良の風俗に反する法律行為は、無効です。（民法第90条）
当事者が合意した場合や追認した場合も同様に無効です。
誤りです。
詐欺又は強迫による意思表示は、取り消すことができます。（民法第96条1項）
詐欺も脅迫も断ることが可能であり、完全に無効とする必要がないからです。
他人の権利（権利の一部が他人に属する場合におけるその権利の一部を含む。）を売買の目的としたときは、
売主は、その権利を取得して買主に移転する義務を負います。（民法第561条）
ですので、他人が所有している土地を売買契約することは、有効です。
尚、他人の物を取得者に移転できない場合、契約の解除や損害賠償請求が可能です。
この問題は、基本的な条文の知識に関する出題です。
重要な内容ですのでしっかり理解しておきましょう。
この設問は民法の基本ルールについてです。法律行為の有効・無効・取消しについての正確な理解を問うものです。
記載の通りです。
・民法では「意思能力」がない場合、その行為は無効になります。
誤りです。
・当事者がいくら合意しても、社会のルールに反すれば無効です。
誤りです。
・詐欺による意思表示も、強迫による意思表示も、取り消すことができるとされています。
誤りです。
・他人物売買は、原則として有効です。
当事者の合意が必要となる場合と、合意しても無効な場合があるので区別できるようにしておきましょう。
正解は「営業を許された未成年者が、
その営業に関する意思表示をした時に意思能力を有しなかった場合は、
その法律行為は無効である。」です。
正しいです。
法律行為の当事者が意思表示をした時に意思能力を有しなかったときは、
その法律行為は、無効となります。（民法第3条の2）
意思能力を有しない者とは、
7歳以下の子ども、泥酔者、乳児などが代表例として挙げられます。
営業を許された未成年者であっても、
意思表示をした時点で意思能力がなかった場合は、
その営業に関する法律行為であっても無効となります。
誤りです。
公の秩序に反する法律行為は、
たとえ当事者同士が納得し、合意していたとしても無効です。（民法90条）
誤りです。
詐欺による意思表示も、強迫による意思表示も、
いずれも「取り消すことができる行為」であり、
取り消されるまでは有効と扱われます。
設問では、
「詐欺は取り消すことで無効になるが、強迫は取り消さずとも無効になる」
としていますが、これは誤っています。
強迫による意思表示も、
必ず取り消しの意思表示をしなければ、効力は残ります。
誤りです。
他人が所有している土地を目的物とする売買契約であっても、
原則としてその契約は有効です。
そのため、「無効である」とする設問の前提が誤っています。
設問では、「他人が追認した場合に有効になる」としていますが、
もともと売買契約は有効に成立しているため、追認は不要です。
この問題は、基本的な条文の知識に関する出題です。
営業を許された未成年者が意思能力を有しない場合、その法律行為は無効となります。
重要な内容ですので、しっかり理解しておきましょう。"
2024,2,委任契約・準委任契約に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,売主が、売買契約の付随義務として、買主に対して、マンション専有部分内の防火戸の操作方法につき説明義務を負う場合、業務において密接な関係にある売主から委託を受け、売主と一体となって当該マンションの販売に関する一切の事務を行っていた宅地建物取引業者も、買主に対して、防火戸の操作方法について説明する信義則上の義務を負うことがある。,受任者は、委任者の許諾を得たとき、又はやむを得ない事由があるときでなければ、復受任者を選任することができない。,委任契約で本人が死亡しても代理権が消滅しない旨を合意して代理人に代理権を与えた場合、本人が死亡しても代理権は消滅しない。,委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に対しその報酬を支払うことを約さなければ、その効力を生じない。,4,"誤っているのは、
「委任は、当事者の一方が仕事を完成することを相手方に約し、
相手方がその仕事の結果に対しその報酬を支払うことを約さなければ、
その効力を生じない。」です。
正しいです。
売主から委託を受けてマンションの専有部分の販売に関する
一切の事務を行っていた宅地建物取引業者に、
専有部分内に設置された防火戸の操作方法等につき
買主に対して説明すべき信義則上の義務があります。
（最判平17.9.16）
宅地建物取引業者が、購入希望者に対する
説明等から引渡しに至るまで販売に関する
一切の事務について売主から委託を受け行っていたことで
買主は、上記業者を信頼して売買契約を締結し、
上記業者から専有部分の引渡しを受けたことなどの事情を考慮したものです。
正しいです。
受任者は、①委任者の許諾を得たとき、
又は②やむを得ない事由があるときでなければ、
復受任者を選任することができません。（民法第644条の2）
①と②以外の場合は、復受任者の選任はできません。
正しいです。
委任は、委任者又は受任者の死亡・破産手続開始の決定、
受任者が後見開始の審判を受けた場合終了します。
（民法第653条）
しかし判例（最判平04.09.22）では、委任者が死亡しても、
委任者・受任者間の約定は有効であるとしています。
ですので、代理人に代理権を与える合意は本人が死亡しても
消滅しません。
誤りです。
この説明は請負（民法第632条）についてのものです。
委任とは、当事者の一方が法律行為をすることを相手方に委託し、
相手方がこれを承諾することによって、その効力を生ずるとしています。
（民法第643条）
条文以外にも判例が出題されています。
しかし、委任と請負の違いを理解していれば、
判例が分からなくてもすぐに答えにたどりつける問題です。
委任と請負についてしっかり確認しておきましょう。
委任と請負の違いに注意をして設問に取り掛かりましょう。
記載の通りです。
・宅建業者にも説明義務が発生し得ます。
記載の通りです。
・受任者は、原則として勝手に復受任者を選べません。
・委任者の許可があるか、やむを得ない事情がなければ選任できません。
記載の通りです。
・原則、委任契約は本人または受任者の死亡で終了しますが、本人と受任者が「死亡しても代理権を存続させる」旨の特約をした場合は、その特約が有効です。
誤りです。
・この説明は請負契約（民法第632条）の特徴です。
・委任契約は、「仕事の完成」ではなく、「法律行為その他事務の遂行」が目的です。
委任は行為の遂行が目的であり、仕事の完成度は問いません。
請負は仕事の完成が目的であり、完成しなければなりません。"
2024,3,甲土地につき、A、B、C、Dの4人がそれぞれ4分の1の共有持分を有していて、A、B、CのいずれもDの所在を知ることができない場合に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、Dの共有持分は、相続財産には属していないものとする。,甲土地に、その形状又は効用の著しい変更を伴う変更を加える場合には、共有者の過半数の同意が必要であり、本件ではA、B、C3人の同意が必要となる。,甲土地の所有権の登記名義人となっている者が所有者ではないEである場合、持分に基づいてEに対して登記の抹消を求めるためには、所在が判明しているA、B、Cのうち2人の同意が必要である。,A、B、C3人の同意があれば、甲土地を資材置場として賃借したいFとの間で期間を3年とする賃貸借契約を締結することができる。,Aが裁判所に請求して、裁判所がDの持分をAに取得させる旨の決定をした場合、Dは、その決定から3年以内に限り、Aが取得したDの共有持分の時価相当額をAに対して支払うよう請求することができる。,3,"正解は「A、B、C3人の同意があれば、
甲土地を資材置場として賃借したいFとの間で
期間を3年とする賃貸借契約を締結することができる。」です。
誤りです。
「形状又は効用の著しい変更を伴う変更を加える」は、
共有物の変更にあたります。
共有物の変更とは、各共有者は、他の共有者の同意を得なければ、
共有物に変更（その形状又は効用の著しい変更を伴わないものを除く。）
を加えることができません。
ですので、共有物の変更は、共有者全員の同意が必要です。
誤りです。
登記の抹消請求は、保存行為に該当します。（最判昭31.05.10）
保存行為は、各共有者が単独で行うことができるため（民法第252条1項）、
2人の同意は不要です。
正しいです。
期間を3年とする賃貸借契約は、民法第252条4項3号の
使用及び収益を目的とする権利に該当するため、
持分の過半数で決めることができます。
よって、A、B、Cの同意があれば契約を締結することができます。
誤りです。
不動産が数人の共有に属する場合において、
共有者が他の共有者を知ることができず、
又はその所在を知ることができないときは、
裁判所は、共有者の請求により、
他の共有者の持分を取得させる旨の裁判をすることができます。
（民法第262条の2条）
共有者が所在等不明共有者の持分を取得したときは、所在等不明共有者は、
当該共有者に対し、当該共有者が取得した持分の時価相当額の支払を請求することができるため
DはAに対し支払うよう請求することができます。
また、期間ですが、債権に対する時効の期間が適用されます。
債権者が権利を行使することができることを知った時から五年間、
権利を行使することができる時から十年間行使しないとき
時効が消滅します。（民法第166条1項）
ですので「3年以内に限り」という部分は誤りです。
共有に関する問題です。
保存行為・管理行為・変更行為の
意義や要件を理解できるよう復習しましょう。
「共有物の管理・変更」「所在不明共有者への対応」についての設問です。
誤りです。
・著しい変更については、共有者全員の同意が必要です。
誤りです。
・抹消請求は各共有者が単独で自分の持分について可能です。2人の同意は必要ではありません。
記載の通りです。
・今回、A・B・Cで持分はそれぞれ1/4ずつ、合計3/4あります。管理行為は、共有者の持分価格の過半数の同意でできるため、3人で賃貸借契約を締結できます。
誤りです。
・決定後、Dが時価を払って取り戻す権利はありません。一度取得が確定したら、その後の取消しや請求は認められません。
このテーマは「不動産共有問題」で実務でも頻出なので、しっかりと理解を深めておきましょう。"
2024,4,Aを売主、Bを買主として甲土地の売買契約（以下この問において「本件契約」という。）が締結された直後にAが死亡し、CがAを単独相続した場合における次の記述のうち、民法の規定によれば、正しいものはどれか。,売買代金を受領したCが甲土地の引渡しを拒絶する意思を明確に表示したとしても、Bは、Cに対して相当の期間を定めた催告をしなければ、本件契約を解除することができない。,Bが期日までに売買代金を支払わない場合であっても、本件契約の解除権はAの一身に専属した権利であるため、Cは本件契約を解除することはできない。,Bは、売買代金が支払い済みだったとしても、甲土地の所有権登記を備えなければ、Cに対して甲土地の引渡しを請求することはできない。,本件契約が、Aの詐欺により締結されたものである場合、BはCに対して、本件契約の取消しを主張することができる。,4,"正解選択肢は、
「本件契約が、Aの詐欺により締結されたものである場合、
BはCに対して、本件契約の取消しを主張することができる。」です。
誤りです。
当事者の一方がその債務を履行しない場合、
相手方が相当の期間を定めてその履行の催告をしなければ、
契約の解除をすることができません。
（民法第541条）
ただし、債務者がその債務の全部の履行を拒絶する意思を明確に表示したときは
催告なしに解除が可能です。（民法第542条2項）
今回の場合上記に当たるため催告なしに解除が可能です。
誤りです。
相続人は、被相続人の一身に専属したものでない限り、
相続開始の時から、被相続人の財産に属した一切の権利義務を承継する
ことができます。（民法第896条）
解除権は一身に専属したものではないため、
Cは契約を解除することができます。
売買代金を支払っているため同時履行の関係に立ち
甲土地を引渡しを請求することができます。
尚、相続人Cは当事者のため第三者に該当せず、
対抗関係にありません。（民法第177条）
よって所有権登記は不要です。
正しいです。
詐欺による意思表示は、取り消すことができます。（民法第96条1項）
CはAを相続しているためBはCに対し相続が可能です。
売買契約に相続が合わさった問題です。
A＝Cの関係を見極めることが重要でした。
複数のテーマが問題にされている場合は、
どのテーマが問題点となっているか
文章を丁寧に読んで確認していきましょう。
売買契約後に売主が死亡し、相続人が出てきた場合に、売買契約上の権利義務がどうなるかについての設問です。
誤りです。
・「履行拒絶」には催告は不要です。
・「相当期間の催告」は、履行遅滞がある場合に必要な話です。
誤りです。
・契約解除権も、原則として相続され、相続人が行使できます。
誤りです。
・登記は「第三者への対抗要件」であって、契約当事者間では登記なしでも引渡請求できます。
記載の通りです。
・詐欺による取消権は原則として相続されます。
売買契約や解除権、取消権は一般には一身専属ではないです。"
2024,5,履行遅滞に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,不法行為の加害者は、不法行為に基づく損害賠償債務について、履行の請求を受けた時から遅滞の責任を負う。,善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任を負う。,請負人の報酬債権に対して、注文者がこれと同時履行の関係にある目的物の瑕疵（かし）修補に代わる損害賠償債権を自働債権とする相殺の意思表示をした場合、注文者は、請負人に対する相殺後の報酬残債務について、当該残債務の履行の請求を受けた時から遅滞の責任を負う。,債務の履行について不確定期限があるときは、債務者は、その期限の到来したことを知った後に履行の請求を受けた時から遅滞の責任を負う。,2,"正解選択肢は、
「善意の受益者は、その不当利得返還債務について、
履行の請求を受けた時から遅滞の責任を負う。」です。
誤りです。
不法行為に基づく損害賠償債務は何ら催告を要さず、
損害の発生と同時に履行に陥ります。（最判昭37.09.04）
よって損害の発生と同時に遅滞の責任を負うことになります。
正しいです。
不当利得返還義務は、原則期限の定めのない債務です。
期限の定めのない債務は、履行の請求を受けた時から
履行の遅滞の責任を負います。（民法第412条3項）
誤りです。
請負人の報酬債権負人の報酬債権と損害賠償債権は、
同時履行です。（民法533条）
判例では、請負人の報酬債権に対し注文者がこれと同時履行の関係にある
瑕疵修補に代わる損害賠償債権を自働債権とする相殺の意思表示をした場合、
注文者は、相殺後の報酬残債務について、
相殺の意思表示をした日の翌日から履行遅滞による責任を負います。
（最判平09.07.15）
したがって、履行の請求を受けた時から履行の責任は
負いません。
誤りです。
不確定期限があるときは、債務者は、
①その期限の到来した後に履行の請求を受けた時
②その期限の到来したことを知った時
上記のいずれか早い時から遅滞の責任を負います。
（民法第412条2項）
ですので、②の時期が早い場合は、②が適用されます。
履行遅滞に関する問題となります。
確定期限・不確定期限・期限の定めがない場合の
履行に陥る時期について確認しておきましょう。
債務不履行と履行遅滞の違いを明確にして設問を解きましょう。
誤りです。
・不法行為の加害者は、不法行為の時点で債務不履行責任を負います。
記載の通りです。
・不当利得返還債務では、受益者が善意なら、履行の請求を受けた時から遅滞となります。
誤りです。
・相殺が成立すると、報酬債務は減額されるが、原則として相殺の意思表示時に遅滞します。
誤りです。
・不確定期限の場合、債務者が期限到来を知った時点で遅滞責任が発生します。
いつから責任を負うのか？を意識しながら学習することをお勧めします。
正解選択肢は、
「善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任を負う。」です。
誤りです。
不法行為に基づく損害賠償債務は、
加害者が損害が発生した時点で責任を負います。
履行請求を受けた時点で遅滞責任が発生するわけではありません。
したがって、
履行遅滞が成立するタイミングは他の債務とは異なります。
正しいです。
善意の受益者が不当利得返還義務を負う場合、
履行の請求を受けた時から遅滞責任が生じます。
誤りです。
相殺後に残る報酬債務については、
履行請求がされるまで遅滞責任が発生しません。
この場合、
遅滞責任が生じるタイミングは請求があった時点ですので、
この記述は誤りです。
誤りです。
不確定期限付き債務においては、
債務者が期限の到来を知った時点で遅滞責任が発生します。
履行の請求を受けることは不要で、
債務者が期限の到来を認識した時点で遅滞責任が生じます。
よってこの記述は誤りです（民法第412条2項）。
履行遅滞の発生タイミングについては、
債務の性質に応じて異なります。
不当利得返還債務や不確定期限付きの債務については、
履行の請求を受ける前に遅滞責任が発生するケースが多いため、
注意が必要です。"
2024,6,"Aの所有する甲土地にBを地上権者とする地上権（以下この問において「本件地上権」という。）が設定され、その旨の登記がされた後に、甲土地にCを抵当権者とする抵当権が設定され、その旨の登記がされた場合における次の記述のうち、民法の規定によれば、正しいものはいくつあるか。

ア BがAとの売買契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
イ Aが死亡してBがAを単独相続し、甲土地の所有権を取得したときは、本件地上権は消滅する。
ウ BがAとの代物弁済契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
エ BがAとの贈与契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。",一つ,二つ,三つ,なし,4,"正解は、「なし」です。
今回の内容は「混同」に関する問題です。
「混同」とは、
1.同一物について所有権及び他の物権が同一人に帰属したときは、
当該他の物権は、消滅する。
ただし、その物又は当該他の物権が第三者の権利の目的であるときは、この限りでない（民法第179条1項）
2.所有権以外の物権及びこれを目的とする他の権利が同一人に帰属したときは、
当該他の権利は、消滅する。
この場合においては、前項ただし書の規定を準用する（民法第179条2項）
と規定しています。
上記の内容はしっかり押さえておきましょう。
誤りです。
誤りです。
誤りです。
正しいです。
今回のア～エの全て地上権者Bが所有者となる場合ですが、
抵当権が第三者であるCの権利の目的となっているため
全て誤りです。（民法179条1項ただし書き）
「混同」というなかなか出てこない内容であり、
さらに個数問題ということもあり、
難しい問題です。
今後も「混同」がでてくる可能性もあるため
条文の確認をしておきましょう。
この設問は、地上権と所有権が同一人に帰属することによる地上権の消滅に関する理解を問うものです。地上権者と土地所有者に「同一人物がなる」と原則として地上権は混同により消滅します。
誤りです。
誤りです。
誤りです。
正解です。
ア 本件地上権はCの抵当権に先立って登記されているため、Cの権利保護のために混同による地上権の消滅は認められないとされます。
イ 相続によっても、地上権者と所有者が同一人物となるので、原則として混同により地上権は消滅します。しかし、ここでもCの抵当権が後順位で存在しているため、混同による地上権の消滅は否定されます。
ウ Bが所有者となっても地上権と所有権が同一人になったにすぎず、混同により消滅するのが原則です。しかし、Cの抵当権に先行して本件地上権が登記されているため、混同による消滅は否定されます。
エ 抵当権者Cの権利が既に登記されており、地上権がそれよりも優先的に登記されているので、混同により地上権は消滅しません。
第三者の権利がある場合抵当権は消滅しません。
地上権の登記があって抵当権より先に成立・登記されている場合、抵当権者は地上権の存在を前提に権利を取得しています。したがって、そのような場合には混同によっても地上権は消滅しません。"
2024,7,Aを貸主、Bを借主として甲建物の賃貸借契約（以下この問において「本件契約」という。）が締結され、Bが甲建物の引渡しを受けた場合における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,CがBに対し甲建物をAから買受けたとの虚偽の話をしたので、これを信じたBが甲建物の占有を任意にCに移転した場合、AはCに対して、占有回収の訴えにより甲建物の返還を請求することはできない。,Bが、Aの甲建物への立ち入りを建物入り口を閉ざして拒んだときは、Aは甲建物の間接占有が侵奪されたものとして、Bに対して、占有回収の訴えにより甲建物の返還を請求することができる。,Bが死亡して、DがBを単独相続した場合、Dは相続開始を知るまでは、Bによる甲建物の占有を承継しない。,AとBのいずれもが死亡した場合、本件契約は当然に終了する。,1,"正解は、「CがBに対し甲建物をAから買受けたとの虚偽の話をしたので、
これを信じたBが甲建物の占有を任意にCに移転した場合、AはCに対して、
占有回収の訴えにより甲建物の返還を請求することはできない。」です。
正しいです。
占有回収の訴えとは、占有者がその占有を奪われたときは、
占有回収の訴えにより、その物の返還及び損害の賠償を請求することができる。
（民法第200条1項）
としています。
今回、Ｂは任意にＣに移転しており、
占有物を奪われたわけではありません。
したがって、占有回収の訴えを提起することができません。
誤りです。
占有回収の訴えは、第三者に対してのみ可能です。
Aは第三者に該当しないため占有回収の訴えを提起することができません。
誤りです。
相続人は、相続開始の時から、被相続人の財産に属した一切の権利義務を承継する。
（民法第896条）
としているため
「相続開始を知るまで」が誤りです。
誤りです。
A及びBいずれも死亡した場合相続されるため
契約は当然には終了しません。
今回の内容は、賃貸借契約と占有に関する問題です。
少し細かい知識まで必要な問題もあり、
やや難しい問題です。
占有回収の訴えの要件について、
しっかり確認しましょう。
この問題は、賃貸借契約に基づく占有関係とその法的保護についての民法に関する設問です。
記載の通りです。
・借主Bが占有を第三者Cに自主的に移転した場合、たとえCが欺罔行為でBを騙したとしても、貸主AはCに対して占有回収の訴えを提起できないとされています。
誤りです。
・借主Bによる立入り拒否は、貸主Aの所有権に基づく調査や監督権を制限するものでありうるが、占有侵奪とはいえません。
誤りです。
・占有は相続開始の時点で当然に承継されます。
誤りです。
・賃貸借契約は当事者の死亡によって当然には終了しないのが原則です。
占有を侵奪された者は、占有を回復するために訴えることができます。ただし、直接占有者に対する侵奪があった場合、貸主は原則として自ら占有回収の訴えをすることはできません。"
2024,8,次の記述のうち、民法の条文として規定されていないものはどれか。,隔地者間の契約は、承諾の通知を発した時に成立する。,無効な行為に基づく債務の履行として給付を受けた者は、相手方を原状に復させる義務を負う。,代理人が自己又は第三者の利益を図る目的で代理権の範囲内の行為をした場合において、相手方がその目的を知り、又は知ることができたときは、その行為は、代理権を有しない者がした行為とみなす。,未成年者が法律行為をするには、その法定代理人の同意を得なければならない。ただし、単に権利を得、又は義務を免れる法律行為については、この限りでない。,1,"民法の条文として規定されていないものは、
「隔地者間の契約は、承諾の通知を発した時に成立する。」です。
民法では、到達主義が採用されている（民法第97条）ため
通知を発した時ではありません。
無効な行為に基づく債務の履行として給付を受けた者は、
相手方を原状に復させる義務を負う（民法第121の2項）
と民法に記載されています。
代理人が自己又は第三者の利益を図る目的で代理権の範囲内の行為をした場合において、
相手方がその目的を知り、又は知ることができたときは、
その行為は、代理権を有しない者がした行為とみなす（民法第107条）と
民法に記載されています。
未成年者が法律行為をするには、その法定代理人の同意を得なければならない。
ただし、単に権利を得、又は義務を免れる法律行為については、この限りでない
（民法第5条1項）と民法に記載されています。
民法の条文に関する問題です。
基本的な内容がよく出てきますので、
アウトプットする際に条文も確認しておきましょう。
この設問は、「民法上の明文規定にあるか否か」という観点から、条文として明文化されているかどうかを問うものです。
誤りです。
・民法522条などで契約の成立について規定されていますが、承諾の通知の「発信時点で成立する」旨は明記されていません。
記載の通りです。
・無効な法律行為に基づく給付は「法律上の原因がない」ということは、不当利得返還義務が発生します。
記載の通りです。
・相手方がその事情を知っていれば、代理行為は無権代理と同様に扱われます。これは民法に明文規定があります。
記載の通りです。
・未成年者の法律行為には原則として法定代理人の同意が必要ですが、単に権利を得、義務を免れる行為についてはこの限りでないと明記されています。
民法の条文には「原則的なルール」や「特定の法律効果」に関する規定がありますが、判例や通説として定着しているにもかかわらず、条文としては存在しない事項もあります。"
2024,9,承諾に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,第三者が債務者との間で、債務者の債務につき免責的債務引受契約をする場合、債権者の承諾は不要である。,第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が第三者に承諾をした時点で、その効力が生ずる。,第三者が債権者との間で、債務者の債務につき併存的債務引受契約をした場合、債務者が第三者に承諾をした時点で、その効力が生ずる。,賃借人が賃貸借契約の目的物を第三者に転貸する場合、賃貸人の承諾は不要である。,2,"正解は、「第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が第三者に承諾をした時点で、その効力が生ずる。」です。
誤りです。
免責的債務引受とは、債務者と引受人（第三者）となる者が契約をし、
債権者が引受人（第三者）となる者に対して
承諾をすることによってもすることができる
（民法第472条3項）ため債権者の承諾が必要です。
正しいです。
併存的債務引受は、債務者と引受人（第三者）となる者との契約によってもすることができる。
この場合において、併存的債務引受は、
債権者が引受人（第三者）となる者に対して承諾をした時に、その効力を生ずる
（民法第470条3項）ため承諾した時点で効力が生じます。
誤りです。
併存的債務引受は、債権者と引受人（第三者）となる者との契約によってすることができる
（民法第470条2項）ため第三者の承諾は不要です。
誤りです。
賃借人は、賃貸人の承諾を得なければ、その賃借権を譲り渡し、
又は賃借物を転貸することができません。（民法612条1項）
債務引受に関する問題です。
免責的債務引受と併存的債務引受の
違いについて理解しておきましょう。
この問題は、「契約上の地位や義務を第三者に移転または追加する場合に、誰の承諾が必要か」という点に関して、民法の条文に基づき正しい選択肢を判断するものです。
誤りです。
・債務の免除は債権者に重大な影響があるため、債務者と第三者だけの合意では効力が生じません。
記載の通りです。
・民法479条により、第三者と債務者の間で併存的債務引受契約をした場合、債権者が第三者に対して承諾の意思表示をした時点で効力が生じます。
誤りです。
・民法上、債権者と第三者との契約による併存的債務引受は、債務者の承諾を要しません。
誤りです。
・民法612条1項明文で、賃借人が目的物を第三者に使用・収益させるには、賃貸人の承諾が必要とされています。
免責的債務引受、併存的債務引受の債務引受の違いを押さえておきましょう。"
2024,10,売買契約の目的物が品質に関して契約の内容に適合しない場合において、当該契約不適合が売主及び買主のいずれの責めにも帰することができない事由によるものであるとき、履行の追完請求権、代金の減額請求権、損害賠償請求権及び契約の解除権のうち、民法の規定によれば、買主が行使することができない権利のみを掲げたものとして正しいものは次の記述のうちどれか。なお、上記帰責性以外の点について、権利の行使を妨げる事情はないものとする。,履行の追完請求権、損害賠償請求権、契約の解除権,代金の減額請求権、損害賠償請求権、契約の解除権,履行の追完請求権、代金の減額請求権,損害賠償請求権,4,"正解は、「損害賠償請求権」です。
契約不適合責任は、履行の追完請求権・代金の減額請求権・
損害賠償請求権・契約の解除の四つがあります。
誤りです。
損害賠償請求権のみ売主の帰責事由が必要です。
履行の追完請求権・代金の減額請求権・契約の解除の
3つは帰責事由は不要のため買主は行使可能です。
誤りです。
損害賠償請求権のみ売主の帰責事由が必要です。
上記を参照してください。
誤りです。
損害賠償請求権のみ売主の帰責事由が必要です。
上記を参照してください。
正しいです。
損害賠償請求権のみ売主の帰責事由が必要です。
今回の問題は、契約不適合が売主及び買主のいずれの責めにも
帰することができない事由によるものであるため
損害賠償請求権のみが正しいです。
契約不適合責任についての問題です。
宅建試験でもよく出る問題ですので、
契約不適合責任は、履行の追完請求権・代金の減額請求権・
損害賠償請求権・契約の解除の4つを理解して
おきましょう。
この問題は、「契約不適合責任」に関する理解を問うものです。
誤りです。
・追完請求・解除は行使可能です。
誤りです。
・減額請求・解除も行使可能です。
誤りです。
・いずれも帰責性がなくても行使可能です。
記載の通りです。
・唯一、帰責性が必要な権利です。
損害賠償請求権は、債務不履行に対して売主に「故意・過失など」が必要です。
不可抗力や、売主に過失がない場合は、損害賠償請求はできません。"
